"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1939463308580716816","Sun Jun 29 23:17:40 +0000 2025","0","BERITA POPULER: Harga Emas Antam (ANTM) usai Terseok-seok hingga Laba BRI (BBRI) https://t.co/3XG3vUmHSL via @InvestorID","1939463308580716816","","","in","","0","0","0","https://x.com/undefined/status/1939463308580716816","238091066",
"1939393712691511800","Sun Jun 29 18:41:07 +0000 2025","0","Asing Kabur? BBRI &amp; BBCA Diobral! Cek Daftar Sahamnya https://t.co/v8wJeY2vSI","1939393712691511800","","","in","","0","0","0","https://x.com/undefined/status/1939393712691511800","551806331",
"1938994684904513894","Sun Jun 29 15:15:53 +0000 2025","0","@sempol99 @pukmimuk @dojjunn Wahhh kata2 yg bikin trauma. Dl pernah pas BBRI ke 5000 trs naik gamau jual krn kapan lagi punya BBRI di 5000 ternyata ke 3000","1939342060777349543","","sempol99","in","","0","1","0","https://x.com/undefined/status/1939342060777349543","228201041",
"1939118074319470863","Sun Jun 29 14:18:01 +0000 2025","0","@_adlsr @Saham_fess Saham bluechip kaya BBCA BBRI BBNI BMRI","1939327500573954488","","_adlsr","in","","0","0","0","https://x.com/undefined/status/1939327500573954488","1799696207037820928",
"1939296828450906426","Sun Jun 29 12:16:08 +0000 2025","5","Sobat BRI Udah siapin apa aja nih buat ke Prambanan Jazz? Tenang semua bisa pakai BRImo. Beli tiket transportasi top up langganan musik streaming sampai isi e-wallet. Info lebih lanjut : https://t.co/Oq6lhGjRvI https://t.co/MEuVBqEWUJ","1939296828450906426","https://pbs.twimg.com/ext_tw_video_thumb/1939296716097777664/pu/img/fzPhLiD14d_iO4RP.jpg","","in","","0","2","1","https://x.com/undefined/status/1939296828450906426","1398703135",
"1939265263947710691","Sun Jun 29 10:10:43 +0000 2025","0","Laba BRI (BBRI) Mei 2025 #infosaham #saham #investasi https://t.co/dOEyXTiGKe","1939265263947710691","","","in","","0","0","0","https://x.com/undefined/status/1939265263947710691","238091066",
"1938241711509278888","Sun Jun 29 05:31:26 +0000 2025","1","@anthony_yyarin Bbri..pnbn..terus apa lagi banyak gitu Bbri coba di ar kiri","1939194978447818955","","anthony_yyarin","in","","0","1","0","https://x.com/undefined/status/1939194978447818955","1453409431",
"1939118074319470863","Sun Jun 29 03:49:50 +0000 2025","47","@Saham_fess Ikut IPO semua yg ada sekarang wkwkwkwk Ngga2 becanda. Klo masih pemula selalu disarankan saham2 yg aman dan defensive. Tp krn keadaan kurang bagus better jgn all in. Saham defensive tu apa aja si? BBCA BBRI BBNI BMRI ASII INDF ICBP contohnya. Bisa main di sekitaran itu dulu","1939169411279253764","","Saham_fess","in","","0","2","0","https://x.com/undefined/status/1939169411279253764","1071002310388535296",
"1939118074319470863","Sun Jun 29 03:03:24 +0000 2025","0","@Saham_fess Bmri atau bbri","1939157727319859553","","Saham_fess","in","","0","0","0","https://x.com/undefined/status/1939157727319859553","1780941511506767872",
"1939132520488149023","Sun Jun 29 01:23:14 +0000 2025","0","Gerak-gerik Asing di Saham BBCA dan BBRI #infosaham #saham #investasi https://t.co/OnkH6WBu4Q","1939132520488149023","","","in","","0","0","0","https://x.com/undefined/status/1939132520488149023","238091066",
"1938979185479020786","Sun Jun 29 01:19:10 +0000 2025","1","@walpurg1snight Ok juga kok. Wkt aku pertama beli tuh mereka smsm mau bagi dividend tp BBRI berhubung ada interim (yg aku udah ketinggalan) finalnya jd lebih kecil drpd BMRI. Jd aku pilih BMRI","1939131496578904354","","walpurg1snight","in","","0","0","0","https://x.com/undefined/status/1939131496578904354","228201041",
"1938979185479020786","Sat Jun 28 18:49:26 +0000 2025","0","@leony_ip Kak ada pertimbangan khusus ngak kak kenapa bankingnya BMRI atau BBNI apa BBRI kurang oke ya? Soalnya MOS-ya kayalnya lagi oke buat avarage down.","1939033417137692979","","leony_ip","in","","0","1","0","https://x.com/undefined/status/1939033417137692979","1058614502839607297",
"1938989524929155459","Sat Jun 28 15:55:07 +0000 2025","9","Dalam wawancara dengan CNBC Indonesia Lo Kheng Hong mengakui kepemilikan dia di BBRI adalah 64.636.000 dengan harga 25 Juni 2025 Rp 3.780 bernilai Rp 248 M Hanya saja karena tidak 5% tidak dapat diketahui belinya lewat sekuritas apa https://t.co/kbbLxkFuRC","1938989548308136048","","Rudiyanto_zh","in","","0","1","1","https://x.com/undefined/status/1938989548308136048","574453228",
"1938989524929155459","Sat Jun 28 15:55:06 +0000 2025","23","Setelah melakukan pembersihan data saham Lo Kheng Hong kepemilikan &gt;5% berdasarkan harga 25 Juni 2025 sebagai berikut Total 5 sahamnya Rp 1.24 Triliun Ada juga saham lain berdasarkan Wisdom LKH edisi 256 di Kontan BBRI BMRI PGAS NISP BNGA cuma nilainya tidak diketahui https://t.co/S3uZWZKanw","1938989544386502827","https://pbs.twimg.com/media/GuinKNdX0AAHZyp.png","Rudiyanto_zh","in","","0","1","1","https://x.com/undefined/status/1938989544386502827","574453228",
"1938756143163297939","Sat Jun 28 00:27:39 +0000 2025","0","15 Saham Ini Konsisten Bagi Dividen 20 Tahun : BBRI-TLKM #Saham https://t.co/opBIMmo9Sw","1938756143163297939","","","in","","0","0","0","https://x.com/undefined/status/1938756143163297939","908590208",
"1819327047547941349","Wed Jun 25 03:28:59 +0000 2025","0","@GabRey99 gara2 crypto saya bisa beli saham BBRI dan BMRI yg dividen nya 9%","1937714612016959695","","GabRey99","in","","0","0","0","https://x.com/undefined/status/1937714612016959695","1218411521404850176",
